x,y,wkt,district
-73.99364,40.60723,"POLYGON ((-73.9729957711089 40.6088223787091,-73.9721788594566 40.6042029477302,-73.9732412669134 40.5969870534211,-73.9850627991503 40.5956791532379,-73.9852017075284 40.596406360485,-73.9915407811783 40.5903991363033,-73.9933099867562 40.5895921309462,-73.9942169828978 40.5888767638525,-73.997957835432 40.5872777388468,-73.9948782140308 40.5887799790408,-73.9953488143534 40.5893396131004,-74.0001159341264 40.5869598729705,-74.0001102990739 40.5865689610876,-74.0003187816442 40.586461566949,-74.0004905592479 40.5870510869066,-74.0003835097233 40.5871412891596,-73.9978845504689 40.5883516703355,-73.998674372471 40.5892037826212,-73.9992383426584 40.5889435607833,-73.9994659067824 40.5892415020277,-73.998379786898 40.5897786774682,-73.9988376190176 40.5896337221568,-73.998445309525 40.5898686316477,-73.9987794446808 40.5903225876747,-73.9984446982506 40.5902483381949,-73.9977611653922 40.5909607020647,-73.9971131243826 40.5912862105611,-73.997191265967 40.5916144144777,-73.9980658208042 40.5912176971067,-73.9981301327163 40.5912968973851,-73.9972841350871 40.5917230477192,-73.997549949342 40.5919258118814,-73.9994641518619 40.5911114404588,-73.9999887888647 40.591181178214,-74.0002321921494 40.591486722796,-73.999032752948 40.5923210365795,-73.9994844875711 40.5929774325656,-73.9983897500932 40.5935396253007,-73.9985456524151 40.5936049963414,-74.0010589236032 40.5925452380638,-74.0019346419717 40.593902929017,-74.0018455915391 40.5939859001684,-74.0034601959314 40.5959329176205,-74.0055276614116 40.5975473875416,-74.0092186815838 40.5998522794999,-74.0130003138298 40.601567441434,-74.0158254933406 40.6023032154114,-74.0175922248822 40.6025112529134,-74.0183249174369 40.6024258850649,-74.0191370855851 40.6026209886039,-74.0194290554307 40.6028798127345,-74.0154999958234 40.606849759707,-74.0170205466985 40.6076626527222,-73.9971831937375 40.6267183957266,-73.9958602815452 40.6260096734853,-73.994736296434 40.6256229811421,-73.9749740788026 40.6136763481223,-73.9748943897367 40.6131946067955,-73.9739946265935 40.6140381321627,-73.9729957711089 40.6088223787091))",311
-73.97434,40.58022,"POLYGON ((-73.9837229607571 40.5958293126875,-73.9742185959007 40.5901196169703,-73.9743373487979 40.5879497512776,-73.9605180985952 40.5894611450768,-73.9600494132374 40.5832781051989,-73.9591110140059 40.5828649082513,-73.9570327672755 40.5830435657894,-73.9564587163488 40.582667082832,-73.9560428928678 40.5827444866403,-73.9559214021923 40.582456065279,-73.9549416669596 40.5819771368406,-73.9550725409835 40.5816884080126,-73.9544397097361 40.5796081918985,-73.9536531411025 40.5758322123225,-73.9542868912973 40.575739568114,-73.9541350313421 40.5743414988419,-73.9562095895997 40.5742737018438,-73.9563704652021 40.5741815439143,-73.9563467591224 40.5738058089623,-73.9565689331277 40.5741790093933,-73.9586528962714 40.5740597545679,-73.9589677663574 40.5739554993405,-73.9589886149466 40.5734388865284,-73.9590978473757 40.5738720508718,-73.9598300740689 40.5739375405407,-73.9672043681897 40.5733345477486,-73.9674371054833 40.5732171999285,-73.9674277125438 40.5729933394115,-73.9675329253642 40.5731989635043,-73.9681864890745 40.5731860986399,-73.969452690596 40.5728655105645,-73.9692476404002 40.572312305788,-73.9695603801883 40.5728168108504,-73.9697572319184 40.572855154954,-73.971331325567 40.5726520408306,-73.9711844923794 40.5719501287348,-73.9716084931684 40.5726364540365,-73.9729361905488 40.5724828324581,-73.9733464516932 40.5723294438203,-73.9732513310215 40.5716349162324,-73.9734494824194 40.5722803368434,-73.9752870793273 40.5720580623348,-73.9754722490127 40.571977233985,-73.9754070710231 40.5714292704786,-73.9756806109998 40.5719642143661,-73.977135072681 40.5719053170387,-73.9776652763926 40.5717376175343,-73.9778093959258 40.5717644306728,-73.9784562964668 40.5719004339951,-73.9791014467218 40.5718489278722,-73.9798483767946 40.5715475493794,-73.9801049477314 40.5717354561896,-73.9820421914064 40.5714886001572,-73.9815729869302 40.5712582175225,-73.982028062066 40.571284381418,-73.9821785391309 40.5715688077243,-73.9830818773307 40.57151676068,-73.983674134661 40.5714152869708,-73.9837593373436 40.5714044567267,-73.988038600629 40.5709933375856,-73.9886216890985 40.5709042808633,-73.9885791551551 40.5707061386487,-73.9887228933684 40.5708919212306,-73.990264110613 40.5707165687637,-73.9907745388237 40.570607650965,-73.9907940830445 40.5702568773551,-73.9908651815522 40.5706102454149,-73.9911948106942 40.5706201039787,-73.9927299845016 40.570442017287,-73.9929706658453 40.5703749611639,-73.9929824161435 40.5702050022057,-73.9931588548877 40.5703880184262,-73.994939068283 40.5703629031171,-73.9951399812346 40.5703228897583,-73.9951886975484 40.5700301068293,-73.9952944486487 40.5703295114425,-73.9957661331305 40.5704011908588,-73.9971963748705 40.5703568774805,-73.9973708854574 40.5701455365014,-73.9976685591622 40.5703829798334,-73.9984692161197 40.5705056258607,-73.9996599451458 40.5703908312082,-73.9997499592649 40.5705040256208,-74.0007800336514 40.5704992270257,-74.0020131096366 40.5702169874893,-74.0020869152533 40.5695942128113,-74.0024885157541 40.5717466178538,-74.0048239180777 40.5728984569567,-74.0066705969591 40.5734018776157,-74.0087100978427 40.5737680474656,-74.0100755492531 40.5738390385176,-74.0111581290859 40.5741749908318,-74.0120168437924 40.5748932814993,-74.0123232780122 40.5756609119934,-74.0124609601929 40.5766900003079,-74.0130252426869 40.5778125998549,-74.0123518018518 40.5792300517529,-74.0117626854682 40.5798623122022,-74.010861797976 40.5804704753572,-74.007455100658 40.5818117534088,-74.0060487831622 40.581991884154,-74.0039816759364 40.5817295266171,-74.0029451816664 40.5814410660079,-74.0006304564039 40.5813042188222,-73.9980394089593 40.5815682699491,-73.9976312295056 40.5812720078685,-73.9979015436165 40.5807914637547,-73.9977666643892 40.5805962645112,-73.9918305641646 40.5792553117275,-73.9903635003775 40.5794328111668,-73.9889923706262 40.5788433309166,-73.9884297721286 40.5788240737688,-73.9873920786241 40.5790952142121,-73.9866968343376 40.5798231394131,-73.9870228203094 40.5800309960568,-73.9858871077835 40.5811526558902,-73.9860465331359 40.581728916197,-73.9869465037759 40.5811446529852,-73.987640692444 40.5799258289181,-73.9880370969326 40.5796420112375,-73.9899564851086 40.580669900198,-73.9917441702695 40.5812083938349,-73.9918267314939 40.5817467519184,-73.9903390603491 40.584226486642,-73.9902638833149 40.5846273799839,-73.9953981119307 40.5822360213735,-73.9960567256703 40.5821371349988,-74.000180667018 40.5830821816405,-74.0004188338373 40.583554152785,-74.0004382931263 40.5840572006391,-73.9993412021796 40.5848690461191,-73.9980866759672 40.5853729534787,-73.9980904302929 40.585478972197,-73.9997074095854 40.5856980517513,-73.9995271190588 40.5857667764206,-73.9995665547838 40.586252151622,-73.9981467423791 40.5865399259649,-73.994174493227 40.5883910905068,-73.9956000121004 40.5878499401942,-73.9956619827385 40.587944439883,-73.9940804839292 40.588701674439,-73.9942169828978 40.5888767638525,-73.9933099867562 40.5895921309462,-73.9915407811783 40.5903991363033,-73.9852017075284 40.596406360485,-73.9850627991503 40.5956791532379,-73.9837229607571 40.5958293126875))",313
-73.98324,40.63122,"POLYGON ((-73.9713977506296 40.6482660313929,-73.9676287948398 40.63524686462,-73.9724162485508 40.6330020760628,-73.9725586484515 40.6337216224313,-73.9776178574795 40.6331618839712,-73.9765160548312 40.6273027309491,-73.9725830860913 40.6279262080138,-73.9659082997032 40.6286627229557,-73.9623809071473 40.6099946126218,-73.9729957711089 40.6088223787091,-73.9739946265935 40.6140381321627,-73.9748943897367 40.6131946067955,-73.9749740788026 40.6136763481223,-73.994736296434 40.6256229811421,-73.9965541713307 40.6263481478155,-74.0093087853119 40.6340091158567,-74.0105052816791 40.6345873379204,-73.9960470950249 40.6483488984353,-73.9890601632185 40.6441274847072,-73.9883513057925 40.6445704872079,-73.981806775058 40.6471360437762,-73.9752735686835 40.6478388489001,-73.973268324364 40.6475913171153,-73.9713977506296 40.6482660313929))",312
-73.91686,40.69454,"POLYGON ((-73.8964676619632 40.6823446767505,-73.8965829994048 40.6815829727514,-73.8967510707599 40.6815002799065,-73.8969605499751 40.6807078361587,-73.8973852252878 40.6801770666484,-73.8978644107416 40.6798832649756,-73.898900694506 40.6795691889542,-73.9002467894011 40.6794310441996,-73.9026240364247 40.6806727575172,-73.904047812361 40.6792288511377,-73.9419322155564 40.7007334906437,-73.933952354958 40.7026828498025,-73.9260907237221 40.7056879590952,-73.9218932675369 40.7094043550336,-73.911808518636 40.7034432098531,-73.9129054591292 40.7023701489483,-73.9106802446017 40.7010542276254,-73.9118096184581 40.6999462594193,-73.9042615985321 40.6957086277263,-73.9057973857442 40.6941354122168,-73.901399819993 40.691598247952,-73.9018891763889 40.691085976638,-73.9004260638651 40.688192153699,-73.9011629636748 40.6878861908807,-73.8964676619632 40.6823446767505))",304
-73.88753,40.84961,"POLYGON ((-73.8718475163754 40.8437690645877,-73.873128694471 40.8383433825444,-73.8737745010331 40.8363670366553,-73.8772290402782 40.8365914674144,-73.8796532390724 40.8371343120962,-73.8816981656934 40.8379953987194,-73.886111205643 40.8404792802243,-73.8865994413749 40.8392873354479,-73.8881389400462 40.8398702877841,-73.8886918268961 40.8391663117104,-73.8894186675285 40.8394310186489,-73.8953797827688 40.8429470647035,-73.8948208471028 40.843692056881,-73.8996389179721 40.8442421113822,-73.9003347260546 40.8429976655994,-73.9015129429114 40.8433762545813,-73.900941417757 40.8443932685095,-73.9026895245689 40.8445897580976,-73.9000983832677 40.8492173279872,-73.8932166288763 40.8598824947847,-73.8913816546226 40.8617088778157,-73.8906759381689 40.8613283621844,-73.8892741574308 40.8629246890727,-73.8880161137579 40.8638972386941,-73.8830952428439 40.8666104758248,-73.882629331482 40.8658670288186,-73.8836157167914 40.8653031411463,-73.8838365672291 40.8647668879566,-73.8837145820843 40.8643002748,-73.8818671045058 40.8621320519266,-73.8805635568338 40.8612055193593,-73.8803558051958 40.8605776522253,-73.8808352934259 40.8581914148521,-73.8805936685588 40.8567482622496,-73.8824381123644 40.8503520575765,-73.8827397750795 40.8478973758127,-73.8771619510616 40.8440934864127,-73.8779827281611 40.8428127019027,-73.8768001355589 40.8423080735496,-73.8745931679176 40.8415289337366,-73.874016104603 40.8425459637331,-73.873057743195 40.8432512187495,-73.8718475163754 40.8437690645877))",206
-73.93381,40.64808,"POLYGON ((-73.9075535091566 40.6511941734274,-73.9159322786479 40.645782941789,-73.9233279638307 40.6399084609947,-73.9255932787164 40.6384308193873,-73.9380159588977 40.6320987099931,-73.9410303150489 40.6313178302317,-73.9455123792342 40.6307997257144,-73.9458691603182 40.6341257914269,-73.9477747289975 40.6340063993077,-73.9482664209214 40.6386154339327,-73.9511645389908 40.6384564268234,-73.9539431530019 40.6385029684065,-73.9541278394951 40.6391695433103,-73.954731674755 40.644780823201,-73.9556533907706 40.6466386551793,-73.9558266129811 40.6505380537406,-73.9563017801419 40.6550565287949,-73.9309049709519 40.6566186043264,-73.9316036075362 40.6632386940308,-73.924392413832 40.666389673187,-73.9075535091566 40.6511941734274))",317
-73.87153,40.74085,"POLYGON ((-73.847509602106 40.7390160741211,-73.8513049265127 40.7375199941981,-73.8562870784311 40.7364343087744,-73.8644722675711 40.7340155404405,-73.876284431627 40.7303213582927,-73.8796949499205 40.7290184234179,-73.8813105864103 40.7286890903995,-73.8855947206806 40.7282827041266,-73.8862902565986 40.7306099671971,-73.8883845831997 40.7357666478288,-73.8912715923654 40.7414365153198,-73.8944483023243 40.7465435377305,-73.8611184809756 40.7500324971319,-73.8518988641684 40.7527611292884,-73.8505003155759 40.750128968416,-73.8544271546738 40.7488599951513,-73.8501169666286 40.7407318301256,-73.8478030463482 40.7400579442389,-73.8475812065717 40.7397296216577,-73.8477798416054 40.7393531028875,-73.847509602106 40.7390160741211))",404
-73.91094,40.66817,"POLYGON ((-73.904047812361 40.6792288511377,-73.9034919141678 40.6789063016721,-73.9033174092037 40.6778774768012,-73.9034756367238 40.6755149363226,-73.8992190195231 40.6591196541886,-73.8995670012578 40.6589648255154,-73.8996334663335 40.658007729871,-73.9001185701708 40.6567628930784,-73.9010468713169 40.6555788474396,-73.9075535091566 40.6511941734274,-73.924392413832 40.666389673187,-73.9227539913683 40.6671055830124,-73.9218250295241 40.6769466110492,-73.9164662782229 40.6766552928651,-73.916302615119 40.6785853652057,-73.9180474887279 40.6872215025298,-73.904047812361 40.6792288511377))",316
-73.77844,40.69159,"POLYGON ((-73.8016840458495 40.6663306070647,-73.8012629840738 40.6683984445924,-73.8011337424179 40.6705569231526,-73.801195995642 40.6724307200467,-73.8016833281192 40.6743921048753,-73.8073376018073 40.6861337053694,-73.8149248189777 40.6994307008578,-73.8170987751332 40.7040380629677,-73.814440705382 40.7044104116209,-73.7956180702181 40.709761342038,-73.7890134743705 40.7120809732123,-73.7886977383584 40.7123241018677,-73.7885175333326 40.7122846787719,-73.7884361901678 40.7119929511546,-73.7878481629128 40.7118190973683,-73.7865766648056 40.7119807567458,-73.773572725553 40.7151283605247,-73.7673336538584 40.717298062857,-73.7644708892823 40.7188986586414,-73.7594427988974 40.7210717102278,-73.7537097137154 40.7133329015496,-73.7512138366523 40.7073148441816,-73.7448474688549 40.693147317726,-73.748571295611 40.6878119982653,-73.7500912766975 40.6859317068104,-73.7522596519041 40.6814996699178,-73.7552359446718 40.6772966675637,-73.7558190774312 40.6757609999368,-73.7563637586623 40.6724374947,-73.7564387091547 40.6696746351534,-73.7569966997126 40.6677495243803,-73.7579578030338 40.6659636593257,-73.770176189589 40.667323719439,-73.774452448882 40.6674798319173,-73.7803180461336 40.6671846268118,-73.7894822729531 40.6663759069634,-73.7930611858291 40.6662014584454,-73.8016840458495 40.6663306070647))",412
-73.89054,40.71077,"POLYGON ((-73.887703404048 40.7342995875936,-73.8862902560798 40.7306099667611,-73.8855947206783 40.7282827043623,-73.8800901841864 40.728914538604,-73.8750929489684 40.7306796273759,-73.87146214844 40.7293346387554,-73.8708467999507 40.7274928578374,-73.8692941102268 40.7244441927281,-73.8652401100979 40.7199849730292,-73.8599299572851 40.7147645321666,-73.8596375719866 40.7139863932692,-73.8597775814481 40.7112346183155,-73.8591428937686 40.7068823245664,-73.8588351147144 40.706247158148,-73.8582341988679 40.705599949648,-73.8555991092159 40.7037344854389,-73.8553956352904 40.7033568970095,-73.8552971148431 40.7019992684877,-73.8572290269296 40.7016599794494,-73.8572807403461 40.7012207722981,-73.8589336443452 40.7013286040385,-73.8582003069978 40.7029193338993,-73.8592255218044 40.7025412052449,-73.8601321341299 40.7024304496418,-73.8627943603843 40.7027955520426,-73.8644912390296 40.7028065943794,-73.8668568486547 40.7022219954171,-73.8676973977373 40.7016689861059,-73.8681864300741 40.701101314392,-73.8688687111945 40.6990312734118,-73.8691519210556 40.698591775973,-73.8699047052101 40.6979848826895,-73.8705753355334 40.6976971592642,-73.8689190309349 40.6951548195705,-73.8740219380803 40.6941995530115,-73.8795078192238 40.6911550252937,-73.883778394835 40.6878716667881,-73.8845239166118 40.6866930044627,-73.8880848277202 40.6853018875892,-73.8896292849558 40.6842447089793,-73.8901555969977 40.6850122449019,-73.8925844422864 40.6835001655362,-73.8941760443001 40.6852915032379,-73.8957808657169 40.6835054381376,-73.8964676619632 40.6823446767505,-73.9011629636748 40.6878861908807,-73.9004260638651 40.688192153699,-73.9018891763889 40.691085976638,-73.901399819993 40.691598247952,-73.9057973857442 40.6941354122168,-73.9042615985321 40.6957086277263,-73.9118096184581 40.6999462594193,-73.9106802446017 40.7010542276254,-73.9129054591292 40.7023701489483,-73.911808518636 40.7034432098531,-73.9218932675369 40.7094043550336,-73.9207499515259 40.7105419074633,-73.9215474374473 40.7110515424923,-73.9222360860872 40.7128642138164,-73.9239516968081 40.7140525474341,-73.9240605196651 40.7141198192662,-73.9236849434299 40.7140911012618,-73.924123838361 40.7151463083431,-73.923526895029 40.7156248680505,-73.9223311239543 40.7160848048799,-73.9206440109673 40.7157814519462,-73.9205704765788 40.7160119680124,-73.9222390325801 40.7163907002336,-73.9227955696347 40.7175428359641,-73.9234674483575 40.7181385949318,-73.9239400963362 40.7190510171274,-73.9238371763887 40.7201564245231,-73.9242285847393 40.7208956054009,-73.9242450725493 40.7214377593467,-73.9251534953477 40.7223436010362,-73.9245284495364 40.7235491729642,-73.9243383572406 40.7236121019048,-73.9221447323824 40.7237158181922,-73.9207349829415 40.723318074594,-73.9203720640046 40.7236893745457,-73.9205334048088 40.7229486041251,-73.9165561004238 40.7220137679701,-73.9125732962297 40.7232478964124,-73.9051819968879 40.7289648400123,-73.9006095653626 40.7344921196173,-73.8996339948535 40.7350106229754,-73.8983095432801 40.7352024490732,-73.8951027483543 40.7350294477448,-73.892785470305 40.7345042270572,-73.8891046027616 40.7346006608886,-73.887703404048 40.7342995875936))",405
